id,year,model_id
1467,2015,419
1468,2018,420
1469,1999,421
1470,2000,421
1471,1998,421
1472,2001,421
1473,1998,422
1474,2001,422
1475,2002,422
1476,2019,423
1477,2003,423
1478,2002,423
1479,2011,423
1480,2013,423
1481,2005,423
1482,2009,423
1483,2006,423
1484,2010,423
1485,2005,424
1486,2006,424
1487,2004,425
1488,2006,425
1489,2007,426
1490,2004,427
1491,2006,427
1492,2014,428
1493,2005,429
1494,2013,430
1495,2016,430
1496,2015,430
1497,2011,431
1498,2017,432
1499,2016,433
1500,2011,433
1501,2018,433
1502,2016,434
1503,2006,435
1504,2016,436
1505,2016,437
1506,2005,437
1507,2016,438
1508,2007,439
1509,2015,439
1510,2018,439
1511,2015,440
1512,2017,441
1513,2019,442
1514,2016,443
1515,2010,444
1516,2013,445
1517,2008,446
1518,2008,447
1519,2016,448
1520,2019,448
1521,2008,449
1522,2008,450
1523,2008,451
1524,2008,452
1525,2016,453
1526,2008,454
1527,2008,455
1528,2003,456
1529,2007,456
1530,2008,457
1531,2008,458
1532,2008,459
1533,2008,460
1534,2008,461
1535,2016,461
1536,2017,461
1537,2008,462
1538,1998,463
1539,2009,463
1540,2010,463
1541,2004,463
1542,2011,464
1543,2008,464
1544,2009,464
1545,2010,465
1546,2012,465
1547,2016,465
1548,2019,466
1549,2012,467
1550,2016,467
1551,2010,467
1552,2011,467
1553,2014,468
1554,2012,468
1555,2010,468
1556,2011,468
1557,2013,468
1558,2006,469
1559,2011,469
1560,2013,469
1561,2007,469
1562,2014,469
1563,2002,470
1564,2000,470
1565,2003,470
1566,1998,471
1567,2013,472
1568,2016,473
1569,2017,473
1570,1998,474
1571,1999,474
1572,2006,474
1573,2002,474
1574,2008,474
1575,2006,475
1576,2008,475
1577,2011,476
1578,2012,476
1579,2013,476
1580,2009,476
1581,2010,476
1582,2007,477
1583,2006,477
1584,2009,477
1585,2017,478
1586,2010,478
1587,2005,479
1588,2007,479
1589,2006,479
1590,2010,480
1591,2008,480
1592,2006,480
1593,2011,480
1594,2015,480
1595,2007,480
1596,2006,481
1597,2008,482
1598,2005,483
1599,2007,483
1600,2006,483
1601,2012,484
1602,2008,484
1603,2010,484
1604,2011,484
1605,2007,484
1606,2004,484
1607,2002,485
1608,2006,485
1609,2010,485
1610,2005,485
1611,2004,486
1612,2006,487
1613,2005,488
1614,2007,488
1615,2006,488
1616,2016,489
1617,2005,490
1618,2007,490
1619,2006,490
